n,events,non_events,responders,prevalence,p_base,p_event,p_fisher,or,ci.low,ci.high
60,6,54,22,0.1,0.4,0.4,0.00149035651665693,Inf,2.40195322963837,Inf
60,22,38,20,0.3,0.4,0.4,0.573157685386719,0.647535475116079,0.167099363284282,2.28265685817731
60,27,33,21,0.5,0.4,0.4,0.587236300203131,0.652482009564051,0.188160946420899,2.15908292796943
60,0,60,,0.01,0.4,0.2,1,,,
60,4,56,30,0.05,0.4,0.2,0.112399643175736,0,0,1.45105557961614
60,9,51,24,0.1,0.4,0.2,0.137131657768904,3.58349654626483,0.669840803468568,24.8108703835447
60,11,49,20,0.3,0.4,0.2,0.0809241472430824,0.161648574797998,0.00346436950095199,1.30453231673137
60,33,27,23,0.5,0.4,0.2,0.188975978930491,0.474359559808291,0.142023822751991,1.52940892226839
60,0,60,,0.01,0.4,0.1,1,,,
60,2,58,21,0.05,0.4,0.1,0.537288135593221,0,0,9.94011690933126
60,4,56,22,0.1,0.4,0.1,1,0.560574143593735,0.0101136273846192,7.51135379988213
60,23,37,17,0.3,0.4,0.1,5.83403696995354e-05,0,0,0.252369816573765
60,31,29,15,0.5,0.4,0.1,0.00674962981674921,0.156789670076912,0.0248277096046625,0.694104808223171
60,1,59,20,0.01,0.4,0.01,1,0,0,77.9062690200844
60,4,56,19,0.05,0.4,0.01,0.297097214104812,0,0,3.25485117448788
60,3,57,15,0.1,0.4,0.01,0.56604324956166,0,0,7.40343180688185
60,24,36,16,0.3,0.4,0.01,0.0010697489207464,0.06323189933917,0.00139223191321451,0.479099826168957
60,36,24,14,0.5,0.4,0.01,5.29361100591114e-06,0.0259840583517714,0.000559810985191172,0.206636292355398
60,0,60,,0.01,0.4,0,1,,,
60,1,59,22,0.05,0.4,0,1,0,0,67.2938572219134
60,12,48,18,0.1,0.4,0,0.0118290875120711,0,0,0.701449734298791
60,20,40,18,0.3,0.4,0,0.000181711297665759,0,0,0.300135130682278
60,34,26,11,0.5,0.4,0,2.25449581999323e-05,0,0,0.211148252560198
60,0,60,,0.01,0.2,0.4,1,,,
60,2,58,16,0.05,0.2,0.4,0.465536723163842,2.80772767044913,0.0342550274154801,229.687759900307
60,7,53,10,0.1,0.2,0.4,0.329915165683722,2.21331989815783,0.181195158254655,16.8200220176307
60,17,43,22,0.3,0.2,0.4,0.0073075698841893,5.16323945334458,1.37341901591483,21.567252195743
60,31,29,17,0.5,0.2,0.4,0.0880563747995512,2.97555106394776,0.800624992643802,12.7589063191391
60,0,60,,0.01,0.2,0.2,1,,,
60,2,58,12,0.05,0.2,0.2,1,0,0,21.8224867150017
60,1,59,9,0.1,0.2,0.2,0.15,Inf,0.14529909620098,Inf
60,20,40,16,0.3,0.2,0.2,0.126515129811247,2.61927663779276,0.687085586140026,10.1926688795572
60,26,34,11,0.5,0.2,0.2,1,1.10915168634136,0.233586243867006,5.0436820695048
60,0,60,,0.01,0.2,0.1,1,,,
60,4,56,14,0.05,0.2,0.1,0.564182226460365,0,0,5.07710328217423
60,7,53,11,0.1,0.2,0.1,1,0.720344026212175,0.0141856214084314,7.08242722965006
60,12,48,11,0.3,0.2,0.1,0.434765841563583,0.350355842676206,0.00731020710769355,2.99634760605404
60,26,34,6,0.5,0.2,0.1,0.689228916827428,0.629750200896722,0.0527537994978347,4.83103250192616
60,1,59,8,0.01,0.2,0.01,1,0,0,252.503793626694
60,4,56,11,0.05,0.2,0.01,1,0,0,7.03972695395858
60,5,55,11,0.1,0.2,0.01,0.573261763409107,0,0,5.04282337662963
60,16,44,12,0.3,0.2,0.01,0.0253123139716409,0,0,0.846812508294788
60,38,22,8,0.5,0.2,0.01,0.129097086676787,0.298017617310562,0.0413389715239377,1.73780064154401
